"Lines","RelativePath"
"83","ui\navigation\AppDestination.kt"
"83","ui\features\explore\DiscoverScreen.kt"
"83","ui\features\document\PdfPreviewCard.kt"
"81","ui\features\search\components\SearchLoadingState.kt"
"81","ui\features\document\RelatedDocumentsSection.kt"
"81","ui\features\trending\components\TrendingNoteThumbnail.kt"
"79","ui\features\documentViewing\components\ZoomableImage.kt"
"75","ui\features\myfiles\BookmarkViewModel.kt"
"75","data\repository\ExploreRoomRepository.kt"
"74","ui\features\upload\UploadUiState.kt"
"73","ui\common\navigation\WaterPhysics.kt"
"71","domain\model\UploadModels.kt"
"70","ui\common\navigation\WaterNavItem.kt"
"70","data\local\cache\SearchCache.kt"
"68","ui\features\trending\components\TrendingNotesHeader.kt"
"67","ui\features\documentViewing\components\PdfErrorView.kt"
"66","ui\features\onboarding\components\AchievementBubbles.kt"
"65","ui\features\explore\components\ContributorCard.kt"
"65","firebase\FirestoreStatsService.kt"
"64","ui\features\explore\components\CollectionCard.kt"
"63","domain\model\VideoDetail.kt"
"62","ui\features\explore\components\ExamPrepBanner.kt"
"61","ui\features\search\components\SearchErrorState.kt"
"61","ui\features\search\SearchUiState.kt"
"61","ui\features\documentViewing\components\ImageErrorView.kt"
"60","data\repository\WidgetCountRepository.kt"
"60","ui\features\profile\ContributorStatsViewModel.kt"
"57","ui\features\onboarding\components\PageIndicator.kt"
"57","domain\util\ExploreRankingUtils.kt"
"57","ui\features\explore\components\PressScaleSurface.kt"
"56","ui\features\explore\components\TrendingNoteShimmer.kt"
"55","data\mapper\ProfileMapper.kt"
"54","data\repository\HomeFeedRepository.kt"
"53","data\local\search\SearchHistoryManager.kt"
"50","ui\features\about\AppSettingsViewModel.kt"
"49","ui\features\trending\TrendingNotesScreen.kt"
"48","data\local\entity\ExploreItemEntity.kt"
"48","ui\features\explore\components\Thumbnail.kt"
"47","ui\features\explore\components\RevisionCard.kt"
"47","ui\features\explore\components\SmallMetric.kt"
"46","ui\features\search\components\SearchEmptyState.kt"
"46","data\local\db\AppDatabase.kt"
"46","domain\model\Notification.kt"
"45","core\util\RefreshCooldownManager.kt"
"44","ui\features\onboarding\data\OnboardingPages.kt"
"40","ui\theme\Type.kt"
"40","ui\features\explore\components\SubjectChip.kt"
"38","data\service\ShareStorageProvider.kt"
"38","data\local\entity\HomeFeedItemEntity.kt"
"37","ui\common\navigation\model\WaterWaveState.kt"
"37","core\util\NormalizationUtil.kt"
"37","ui\common\AppBottomBar.kt"
"36","NotesSharingApplication.kt"
"35","ui\features\explore\components\ExploreHeader.kt"
"35","firebase\FirebaseStorageService.kt"
"32","data\local\dao\HomeFeedDao.kt"
"31","domain\model\AcademicCatalog.kt"
"31","core\util\LegacyAcademicCompatibilityResolver.kt"
"29","data\local\dao\ExploreDao.kt"
"29","data\local\entity\UserProfileEntity.kt"
"27","firebase\FirestoreDocumentService.kt"
"26","domain\model\DownloadModels.kt"
"24","core\util\RelativeTimeFormatter.kt"
"23","data\service\DownloadCountTracker.kt"
"23","ui\features\auth\AuthUiState.kt"
"22","data\local\dao\UserProfileDao.kt"
"22","ui\features\documentViewing\components\ImageViewerContent.kt"
"21","ui\features\documentViewing\components\ImageLoadingView.kt"
